tag,x,y
グリップ,489.06374900599269,-1877.9518768446073
柔らかい,1513.4834688937606,-20837.727224069
軟らかい,489.063749005766,-1877.9518768446562
抗力,743.57594815792197,-2857.6491481608609
気,241.26838267564312,-922.63953983002364
成る,241.26838267559367,-922.63953983003728
指,31218.968599916152,8.5395133904021918
跡,742.33070322793048,-2856.1872901164302
付く,240.71957922573034,-921.49964286841578
太い,240.71957922575777,-921.49964286840304
ドクター,-7460.9390934513785,6977.8279918399849
落ち着く,-7968.8502311028678,6457.5068481890467
色,743.13377224953877,-2856.0002025848758
濃い,241.64640545078956,-919.05679274504269
暗い,16964.564439651167,21599.994226652019
使う,1010.4761287731815,-3865.0301520989483
先端,241.27024882762959,-918.00797849942148
尖る,490.26573929061703,-1873.7102913436536
居る,-7535.00182507517,20730.166670628139
安全,-3189.6420670378579,9557.3972647961928
固い,-10014.59511394344,4150.4279227381357
手ごたえ,-7535.1243982427131,20730.100341161051
有る,1008.3348261389782,-3863.0168222917841
持つ,241.52838068751893,-921.78952973516982
実感,-11803.066522539437,-10953.673780927511
芯,1006.6436975269449,-3865.2692778916544
細い,240.96126782278216,-920.6313053494365
シャープ,3628.4249693363249,-12649.734965985559
細かい,2167.2355182463648,-8104.7184532097799
字,241.71905482110449,-924.02857042380708
書く,242.04092533425904,-924.25183884125101
カバー,2169.6274077936855,-8104.6020351734614
円錐,7398.9644779029204,-24333.791657649272
キャップ,-3189.689414457368,9557.3587218918983
消す,-3189.6894144615494,9557.3587218914527
ゴム,1561.8036087399882,-5952.9755085808629
別,488.17096015979303,-1876.2172037584419
サイズ,488.15278246657255,-1876.2276720343048
問う,240.90556193843875,-923.63103145794992
狭い,488.33084237375067,-1875.6207532063838
スペース,240.10650259721979,-920.98053891369364
収納,240.10650259723309,-920.98053891368261
出来る,241.94391109517827,-923.14432200094097
差さる,241.94391109525603,-923.14432200093688
手,-3189.5428896205658,9557.4436641973607
筆箱,1134.37940354021,10016.958718606444
安い,-3189.4904668912754,9557.4309408666959
良い,-3189.4256579231874,9557.4273168580839
好み,-3189.4256579368398,9557.4273168552063
形,-3995.7445815911619,9046.188266666024
珍しい,1281.753630941342,-4897.9164497256534
円,1281.7536309413199,-4897.9164497256334
買う,14229.733151499173,-2118.2264863959495
直す,1865.7319400068588,-7024.438360970571
仕事,1281.7536309413338,-4897.9164497256515
捗る,-7717.6788161320183,6719.8229277150203
素材,-40180.145638604525,13801.841426233759
装飾,241.68668193051357,-919.09344488357533
無し,-3995.6743766897584,9046.206359437836
持ち運ぶ,-3995.7270311068473,9046.1927906502151
安心,-3995.7270309753417,9046.1927906841156
安定,240.89207880343113,-923.57324379221063
為る,240.89207880329374,-923.57324379218574
素早い,489.3822775458986,-1876.1252317976753
取り出す,241.4320728700082,-924.25706969383475
重い,241.4320728706758,-924.25706969380258
軽い,487.8464594262548,-1874.4888732195577
前,743.62005488855277,-2858.6607349425326
ほう,489.77691725053484,-1877.1317321897045
合わせる,744.37101251534727,-2857.7219353365349
デザイン,1277.0541597706024,-4890.7253516479386
快適,241.80453743962508,-924.51537665829596
フィット,241.80453743961948,-924.51537665828459
感,1854.0977636993155,-7010.0751803909252
直径,1854.097763699295,-7010.0751803908697
程度,1854.0977636993061,-7010.075180390897
中心,1854.0977636993084,-7010.0751803908979
部,2496.6129384448973,-9209.0994311205286
ふくらみ,489.19471814736494,-1878.2757298488641
嬉しい,489.19471814734976,-1878.2757298488846
思い切る,1277.6234850990243,-4891.9638143741886
力,241.79750704303734,-924.12436934913683
入る,745.67911198913384,-2855.6629003667285
無い,241.88116418286739,-923.91411369150046
文字,241.89238377373633,-924.01780035412423
魂,1007.3014594345349,-3864.6610123059972
宿る,489.42521074646692,-1877.7897410976695
筆圧,5996.1415214271292,8698.9369152367562
思い,241.72329285814706,-924.22532721748837
通り,241.72329285811767,-924.22532721747746
見える,241.51942303780524,-923.16137112590206
始める,241.51942303778651,-923.1613711258949
手間,241.51942303779606,-923.16137112589445
要る,242.10063929310581,-924.16311391267504
愛着,242.0924300619331,-923.13969080807487
寒色,490.00702794708633,-1877.8907070837797
回転,744.31593377578042,-2856.5689059426149
常,241.79691279946445,-921.72268816467295
小さい,1856.5167326022706,-7017.2764224412385
疲れる,242.14707305046886,-923.09689050500606
疲れ,242.14707305051598,-923.09689050499321
明るい,489.96816253482871,-1876.7197294901005
気分,241.90320778162825,-924.29747257043834
こと,241.90320778156843,-924.29747257040935
楽しい,744.56532045750794,-2855.5651222527413
日々,9748.170848920081,6236.3542857661187
送る,-6163.7735973445433,-18082.81070857948
自然,239.40727095342149,-916.71821843404666
図,486.83134062646224,-1869.668835395322
グラフ,486.8313406264661,-1869.6688353953311
気持ち,241.59005927990898,-919.1034029977086
削る,241.58870559886901,-919.05968429305449
鉛筆,488.92890899261755,-1876.9686170485934
仕舞う,488.92890899263631,-1876.9686170486307
折れる,1275.2779871835648,-4893.1919942675777
経済,742.63176038943107,-2858.7968069521244
入れ替え,742.6317603894106,-2858.7968069521412
少ない,241.42609196494021,-923.9711828295525
楽,1006.023336569174,-3861.4156369311004
便利,1005.4605401995918,-3861.5646900661391
勉強,1005.460540199606,-3861.5646900661209
思いっきり,1005.4605401995722,-3861.5646900661827
握る,1005.4605401995035,-3861.5646900660863
痛い,1005.4605401995485,-3861.5646900662086
時間,-3227.9832601313069,21902.565772967799
使用,-860.77040235437221,10010.188081457354
続ける,-860.82952926510836,10010.175651454256
９,-3227.8403003425583,21902.568744493961
０,-860.8989123487795,10010.167284511816
分,-860.89891235267226,10010.167284512159
プラスチック,-860.68855819139026,10010.179517905673
中,240.68934721578506,-923.2752593915078
透ける,240.6893472157833,-923.27525939154009
残り,240.25972047420271,-921.94173652806398
分かる,240.75000063703055,-923.31141895536598
多い,240.75000063685775,-923.31141895527253
詰まる,239.95936575862618,-921.05720951195087
５,240.29106464572379,-922.31706645524991
以上,487.653129436901,-1873.9444300566267
黒い,240.82930008312024,-923.60748410461156
ボール,2257.7881649229867,9725.5779336374089
ペン,1003.5800778970106,-3863.3174302383122
間違える,1003.5800778969672,-3863.3174302383368
ストレス,1003.5800778970489,-3863.3174302383004
原色,1003.5800778970383,-3863.3174302383095
かっこ,1003.5800778969347,-3863.3174302383632
小指,745.28345015992807,-2857.4500212650069
材質,241.63608621807057,-921.77331321147255
高級,241.63608621798781,-921.77331321149279
木製,241.20545921717422,-922.86164710901403
効率,742.9029517723676,-2857.5651427822736
時,742.90295177227972,-2857.5651427822659
滑る,742.90295177225778,-2857.5651427821681
読み手,742.90295177236351,-2857.5651427823077
読む,241.02072996464088,-922.82679686411882
ノート,241.02072996466768,-922.82679686413019
見る,241.02072996465702,-922.82679686411473
オレンジ,241.18010371353574,-922.65120300597584
半,241.1801037134523,-922.65120300599426
青色,241.35966066467213,-921.02800004040682
無くす,241.35966066468569,-921.02800004040694
買い換える,241.77386821490904,-922.20028289712741
長い,241.77386821486621,-922.20028289716504
年,241.72182889992342,-922.2034303176913
習慣,241.82498232444064,-922.21052393769037
変える,241.2247950318899,-921.02525894182713
羽,241.22479503175106,-921.02525894184168
行く,-1792.2239734786178,9633.2758406872254
使い分け,-1792.1779125141727,9633.2918317643034
子指,-1792.1779125157668,9633.2918317635249
内容,-1792.1779125223095,9633.2918317622625
